filename, type, value
20251020_162955.jpg, Analog Druck, 0.0 bar
20251020_163018.jpg, Digital Ofen A AC, 0.1
20251020_163025.jpg, Digital Temperatur und Druck, 21.4 °C / 37.0%
20251020_163030.jpg, Digital Ofen A AC, 0.1
20251020_163044.jpg, Digital Ofen A AC, 0.1
20251020_163100.jpg, Digital Temperatur und Druck, 21.5 °C / 37.1%
20251020_163106.jpg, Digital Ofen A AC, 0.1
20251020_163109.jpg, Analog Druck, 0.0 bar
20251020_163138.jpg, Digital Ofen A AC, 2.3
20251020_163143.jpg, Digital Temperatur und Druck, 26.2 °C / 33.7%
20251020_163816.jpg, Digital Temperatur und Druck, 38.8 °C / 19.7%
20251020_165339.jpg, Digital Temperatur und Druck, 39.5 °C / 19.6%
20251020_165618.jpg, Analog Druck, 1.8 bar
20251020_165703.jpg, Analog Druck, 3.8 bar
